timestamp,value,point_code,point_index,point_type
2025-07-02 22:00:00,184.54754638671875,20MCS-UNITMW,2075,0
2025-07-02 22:00:01,183.81027221679688,20MCS-UNITMW,2075,0
2025-07-02 22:00:02,184.00848388671875,20MCS-UNITMW,2075,0
2025-07-02 22:00:03,184.16702270507812,20MCS-UNITMW,2075,0
2025-07-02 22:00:04,183.25531005859375,20MCS-UNITMW,2075,0
2025-07-02 22:00:05,183.65170288085938,20MCS-UNITMW,2075,0
2025-07-02 22:00:06,183.96884155273438,20MCS-UNITMW,2075,0
2025-07-02 22:00:07,183.53280639648438,20MCS-UNITMW,2075,0
2025-07-02 22:00:08,183.57241821289062,20MCS-UNITMW,2075,0
2025-07-02 22:00:09,183.45352172851562,20MCS-UNITMW,2075,0
2025-07-02 22:00:10,184.24630737304688,20MCS-UNITMW,2075,0
2025-07-02 22:00:11,184.24630737304688,20MCS-UNITMW,2075,0
2025-07-02 22:00:12,184.00848388671875,20MCS-UNITMW,2075,0
2025-07-02 22:00:13,184.24630737304688,20MCS-UNITMW,2075,0
2025-07-02 22:00:14,183.53280639648438,20MCS-UNITMW,2075,0
2025-07-02 22:00:15,183.96884155273438,20MCS-UNITMW,2075,0
2025-07-02 22:00:16,183.7706298828125,20MCS-UNITMW,2075,0
2025-07-02 22:00:17,183.84991455078125,20MCS-UNITMW,2075,0
2025-07-02 22:00:18,183.37423706054688,20MCS-UNITMW,2075,0
2025-07-02 22:00:19,183.4931640625,20MCS-UNITMW,2075,0
2025-07-02 22:00:20,184.16702270507812,20MCS-UNITMW,2075,0
2025-07-02 22:00:21,184.60577392578125,20MCS-UNITMW,2075,0
2025-07-02 22:00:22,184.6427001953125,20MCS-UNITMW,2075,0
2025-07-02 22:00:23,184.24630737304688,20MCS-UNITMW,2075,0
2025-07-02 22:00:24,184.04812622070312,20MCS-UNITMW,2075,0
2025-07-02 22:00:25,184.63861083984375,20MCS-UNITMW,2075,0
2025-07-02 22:00:26,184.6885986328125,20MCS-UNITMW,2075,0
2025-07-02 22:00:27,184.76162719726562,20MCS-UNITMW,2075,0
2025-07-02 22:00:28,184.6427001953125,20MCS-UNITMW,2075,0
2025-07-02 22:00:29,185.26522827148438,20MCS-UNITMW,2075,0
2025-07-02 22:00:30,185.26998901367188,20MCS-UNITMW,2075,0
2025-07-02 22:00:31,185.15802001953125,20MCS-UNITMW,2075,0
2025-07-02 22:00:32,184.28594970703125,20MCS-UNITMW,2075,0
2025-07-02 22:00:33,185.07876586914062,20MCS-UNITMW,2075,0
2025-07-02 22:00:34,185.3958740234375,20MCS-UNITMW,2075,0
2025-07-02 22:00:35,185.554443359375,20MCS-UNITMW,2075,0
2025-07-02 22:00:36,184.92019653320312,20MCS-UNITMW,2075,0
2025-07-02 22:00:37,185.27694702148438,20MCS-UNITMW,2075,0
2025-07-02 22:00:38,185.43551635742188,20MCS-UNITMW,2075,0
2025-07-02 22:00:39,185.75262451171875,20MCS-UNITMW,2075,0
