database,table_name,engine,total_rows,total_bytes,size_mb,create_query
split_test,points_data_dx_20250410,MergeTree,1538,442,0.0,"CREATE TABLE split_test.points_data_dx_20250410 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250411,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250411 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250414,MergeTree,35,716,0.0,"CREATE TABLE split_test.points_data_dx_20250414 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250415,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250415 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250425,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250425 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250426,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250426 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250509,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250509 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,points_data_dx_20250510,MergeTree,0,0,0.0,"CREATE TABLE split_test.points_data_dx_20250510 (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
split_test,test_type,MergeTree,0,0,0.0,"CREATE TABLE split_test.test_type (`point_code` String CODEC(ZSTD(1)), `point_value` Int8 CODEC(T64, ZSTD(1)), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
test,points_data_ax_20250401,MergeTree,0,0,0.0,"CREATE TABLE test.points_data_ax_20250401 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
test,points_data_dx_20250401,MergeTree,0,0,0.0,"CREATE TABLE test.points_data_dx_20250401 (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMMDD(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
test_udp,points_data,ReplacingMergeTree,32892811,35630775,33.98,"CREATE TABLE test_udp.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time, param_code) ORDER BY (point_code, date_time, param_code) SETTINGS index_granularity = 8192"
wuan,data_clean_point_data,MergeTree,667631,5485523,5.23,"CREATE TABLE wuan.data_clean_point_data (`point_code` String CODEC(ZSTD(1)), `point_value` Float64 CODEC(DoubleDelta, LZ4), `date_time` DateTime CODEC(Delta(4), LZ4), `point_type` Int8, `param_code` String CODEC(ZSTD(1)), `dataset_id` Int64, `data_type` Int8, `create_date` DateTime DEFAULT now() CODEC(Delta(4), LZ4)) ENGINE = MergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time, param_code) ORDER BY (point_code, date_time, param_code) SETTINGS index_granularity = 8192"
wuan,points_data,ReplacingMergeTree,57688915110,255523258510,243685.97,"CREATE TABLE wuan.points_data (`point_code` String, `point_value` Float64, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
xingtai,data_clean_point_data,ReplacingMergeTree,223490,2090084,1.99,"CREATE TABLE xingtai.data_clean_point_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String, `dataset_id` Int64, `data_type` Int8, `create_date` DateTime DEFAULT now()) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
xingtai,points_data,ReplacingMergeTree,0,0,0.0,"CREATE TABLE xingtai.points_data (`point_name` String, `point_value` String, `date_time` DateTime, `point_type` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_name, date_time) ORDER BY (point_name, date_time) SETTINGS index_granularity = 8192"
zhoushan,add_fault_tree,MergeTree,1414,11095,0.01,"CREATE TABLE zhoushan.add_fault_tree (`fault_name` String, `fault_condition` String, `fault_name_code` String, `fault_tree_id` UInt64) ENGINE = MergeTree ORDER BY fault_name SETTINGS index_granularity = 8192"
zhoushan,add_minimum_cutsets,MergeTree,1243,4905,0.0,"CREATE TABLE zhoushan.add_minimum_cutsets (`minimum_cutset` String, `fault_tree_id` UInt64) ENGINE = MergeTree ORDER BY minimum_cutset SETTINGS index_granularity = 8192"
zhoushan,data_clean_point_data,ReplacingMergeTree,234293,2170244,2.07,"CREATE TABLE zhoushan.data_clean_point_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String, `dataset_id` Int64, `data_type` Int8, `create_date` DateTime DEFAULT now()) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
zhoushan,points_data,ReplacingMergeTree,17139190595,90519046529,86325.69,"CREATE TABLE zhoushan.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` Nullable(String), INDEX param_code_idx param_code TYPE minmax GRANULARITY 1) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
zhungeer,points_data,ReplacingMergeTree,30573550,167913335,160.13,"CREATE TABLE zhungeer.points_data (`point_code` String, `point_value` String, `date_time` DateTime, `point_type` String, `param_code` String) ENGINE = ReplacingMergeTree PARTITION BY toYYYYMM(date_time) PRIMARY KEY (point_code, date_time) ORDER BY (point_code, date_time) SETTINGS index_granularity = 8192"
